relation_type	raw_description	formatted_relation_type	description	prompt_template	resource	abbr	source_type	target_type	annotation
bioarx::DrugVirGen:Compound:Gene	Compound that affects the activity of a viral gene	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	bioarx	#VALUE!	#VALUE!	Gene	
DRUGBANK::carrier::Compound:Gene	Compound that acts as a carrier for another compound or drug	BioMedGPS::Carrier::Gene:Compound	A gene that encodes a carrier protein responsible for transporting a specific compound.	Does the #Gene# encode a carrier protein responsible for transporting #Compound#?	DRUGBANK	carrier	Compound	Gene	
DRUGBANK::enzyme::Compound:Gene	Compound that targets and affects the activity of the specified gene as an enzyme	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	DRUGBANK	enzyme	Compound	Gene	
DRUGBANK::target::Compound:Gene	Compound that targets and affects the specified gene	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	DRUGBANK	target	Compound	Gene	
GNBR::A+::Compound:Gene	Activation of a compound stimulates the gene	BioMedGPS::Agonist::Compound:Gene	"A compound acts as an agonist of a specific gene, meaning it binds to and activates the gene or its protein product."	"Does the #Compound# act as an agonist of #Gene#, binding to and activating the gene or its protein product?"	GNBR	A+	Compound	Gene	"(A+) agonism, activation"
GNBR::A-::Compound:Gene	Inhibition of the gene by a compound	BioMedGPS::Inhibitor::Compound:Gene	A compound that inhibits the expression or activity of a specific gene.	Does the #Compound# inhibit the expression or activity of #Gene#?	GNBR	A-	Compound	Gene	"(A-) antagonism, blocking"
GNBR::B::Compound:Gene	Binding of a compound to a gene (especially receptors)	BioMedGPS::Binder::Compound:Gene	"A compound binds to a specific gene or its protein product, potentially affecting its function or regulation."	"Does the #Compound# bind to #Gene# or its protein product, potentially affecting its function or regulation?"	GNBR	B	Compound	Gene	"(B) binding, ligand (esp. receptors)"
GNBR::E+::Compound:Gene	Compound increases the expression or production of the gene	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	GNBR	E+	Compound	Gene	(E+) increases expression/production
GNBR::E-::Compound:Gene	Compound decreases the expression or production of the gene	BioMedGPS::E-::Compound:Gene	A compound that reduces the expression of a specific gene.	Does the #Compound# reduce the expression of #Gene#?	GNBR	E-	Compound	Gene	(E-) decreases expression/production
GNBR::E::Compound:Gene	Compound affects the expression or production of the gene in a neutral manner	BioMedGPS::E::Compound:Gene	A compound that has a general effect on the expression of a specific gene.	Does the #Compound# have a general effect on the expression of #Gene#?	GNBR	E	Compound	Gene	(E) affects expression/production (neutral)
GNBR::K::Compound:Gene	The compound is involved in the metabolism and pharmacokinetics of the gene	BioMedGPS::PharmacoKinetics::Compound:Gene	"The pharmacokinetic properties of a compound as they relate to a specific gene, such as absorption, distribution, metabolism, and excretion."	"What are the pharmacokinetic properties of the #Compound# in relation to #Gene#, including absorption, distribution, metabolism, and excretion?"	GNBR	K	Compound	Gene	"(K) metabolism, pharmacokinetics"
GNBR::N::Compound:Gene	The compound inhibits the gene	BioMedGPS::Inhibitor::Compound:Gene	A compound that inhibits the expression or activity of a specific gene.	Does the #Compound# inhibit the expression or activity of #Gene#?	GNBR	N	Compound	Gene	(N) inhibits
GNBR::O::Compound:Gene	The compound is involved in transport or channels of the gene	BioMedGPS::Carrier::Gene:Compound	A gene that encodes a carrier protein responsible for transporting a specific compound.	Does the #Gene# encode a carrier protein responsible for transporting #Compound#?	GNBR	O	Compound	Gene	"(O) transport, channels"
GNBR::Z::Compound:Gene	The compound affects the enzyme activity of the gene	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	GNBR	Z	Compound	Gene	(Z) enzyme activity
Hetionet::CbG::Compound:Gene	The compound binds to the gene	BioMedGPS::Binder::Compound:Gene	"A compound binds to a specific gene or its protein product, potentially affecting its function or regulation."	"Does the #Compound# bind to #Gene# or its protein product, potentially affecting its function or regulation?"	Hetionet	CbG	Compound	Gene	Compound–binds–Gene
Hetionet::CdG::Compound:Gene	The compound downregulates the gene	BioMedGPS::E-::Compound:Gene	A compound that reduces the expression of a specific gene.	Does the #Compound# reduce the expression of #Gene#?	Hetionet	CdG	Compound	Gene	Compound–downregulates–Gene
Hetionet::CuG::Compound:Gene	The compound upregulates the gene	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	Hetionet	CuG	Compound	Gene	Compound–upregulates–Gene
INTACT::ASSOCIATION::Compound:Gene	Simple association between a compound and a gene	BioMedGPS::AssociatedWith::Compound:Gene	"A compound is associated with a specific gene, suggesting a potential relationship or interaction, but not necessarily causal."	"Is the #Compound# associated with #Gene#, suggesting a potential relationship or interaction?"	INTACT	ASSOCIATION	Compound	Gene	
INTACT::DIRECT INTERACTION::Compound:Gene	Direct interaction between a compound and a gene	BioMedGPS::Interaction::Compound:Gene	"A direct interaction between a compound and a gene, implying some form of relationship, such as modulation or binding."	"Is there a direct interaction between the #Compound# and #Gene#, implying a relationship such as modulation or binding?"	INTACT	DIRECT INTERACTION	Compound	Gene	
INTACT::PHYSICAL ASSOCIATION::Compound:Gene	Physical association between a compound and a gene	BioMedGPS::AssociatedWith::Compound:Gene	"A compound is associated with a specific gene, suggesting a potential relationship or interaction, but not necessarily causal."	"Is the #Compound# associated with #Gene#, suggesting a potential relationship or interaction?"	INTACT	PHYSICAL ASSOCIATION	Compound	Gene	
PrimeKG::carrier::Compound:Gene	Compound acts as a carrier for a gene	BioMedGPS::Carrier::Gene:Compound	A gene that encodes a carrier protein responsible for transporting a specific compound.	Does the #Gene# encode a carrier protein responsible for transporting #Compound#?	PrimeKG	carrier	Compound	Gene	
PrimeKG::enzyme::Compound:Gene	Compound acts as an enzyme for a gene	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	PrimeKG	enzyme	Compound	Gene	
PrimeKG::target::Compound:Gene	Compound targets a gene	BioMedGPS::Target::Gene:Compound	"A gene that is a target for a specific compound, often in the context of drug development or treatment."	"Is the #Gene# a target for #Compound#, often in the context of drug development or treatment?"	PrimeKG	target	Compound	Gene	
PrimeKG::transporter::Compound:Gene	Compound acts as a transporter for a gene	BioMedGPS::Transporter::Gene:Compound	A gene that encodes a transporter protein responsible for moving a specific compound across membranes or within the body.	Does the #Gene# encode a transporter protein responsible for moving #Compound# across membranes or within the body?	PrimeKG	transporter	Compound	Gene	
CTD::affects^abundance::Compound:Gene	Compound affects gene abundance	BioMedGPS::E::Compound:Gene	A compound that has a general effect on the expression of a specific gene.	Does the #Compound# have a general effect on the expression of #Gene#?	CTD	affects^abundance	Compound	Gene	
CTD::affects^activity::Compound:Gene	Compound affects gene activity	BioMedGPS::E::Compound:Gene	A compound that has a general effect on the expression of a specific gene.	Does the #Compound# have a general effect on the expression of #Gene#?	CTD	affects^activity	Compound	Gene	
CTD::affects^binding::Compound:Gene	Compound affects gene binding	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^binding	Compound	Gene	
CTD::affects^chemical synthesis::Compound:Gene	Compound affects gene chemical synthesis	BioMedGPS::E::Compound:Gene	A compound that has a general effect on the expression of a specific gene.	Does the #Compound# have a general effect on the expression of #Gene#?	CTD	affects^chemical synthesis	Compound	Gene	
CTD::affects^cotreatment::Compound:Gene	Compound affects gene cotreatment	BioMedGPS::Target::Gene:Compound	"A gene that is a target for a specific compound, often in the context of drug development or treatment."	"Is the #Gene# a target for #Compound#, often in the context of drug development or treatment?"	CTD	affects^cotreatment	Compound	Gene	
CTD::affects^expression::Compound:Gene	Compound affects gene expression	BioMedGPS::E::Compound:Gene	A compound that has a general effect on the expression of a specific gene.	Does the #Compound# have a general effect on the expression of #Gene#?	CTD	affects^expression	Compound	Gene	
CTD::affects^localization::Compound:Gene	Compound affects gene localization	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^localization	Compound	Gene	
CTD::affects^methylation::Compound:Gene	Compound affects gene methylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^methylation	Compound	Gene	
CTD::affects^oxidation::Compound:Gene	Compound affects gene oxidation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^oxidation	Compound	Gene	
CTD::affects^phosphorylation::Compound:Gene	Compound affects gene phosphorylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^phosphorylation	Compound	Gene	
CTD::affects^reaction::Compound:Gene	Compound affects gene reaction	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^reaction	Compound	Gene	
CTD::affects^response to substance::Compound:Gene	Compound affects gene response to substance	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^response to substance	Compound	Gene	
CTD::affects^secretion::Compound:Gene	Compound affects gene secretion	BioMedGPS::E::Compound:Gene	A compound that has a general effect on the expression of a specific gene.	Does the #Compound# have a general effect on the expression of #Gene#?	CTD	affects^secretion	Compound	Gene	
CTD::affects^splicing::Compound:Gene	Compound affects gene splicing	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^splicing	Compound	Gene	
CTD::decreases^abundance::Compound:Gene	Compound decreases gene abundance	BioMedGPS::E-::Compound:Gene	A compound that reduces the expression of a specific gene.	Does the #Compound# reduce the expression of #Gene#?	CTD	decreases^abundance	Compound	Gene	
CTD::decreases^activity::Compound:Gene	Compound decreases gene activity	BioMedGPS::Inhibitor::Compound:Gene	A compound that inhibits the expression or activity of a specific gene.	Does the #Compound# inhibit the expression or activity of #Gene#?	CTD	decreases^activity	Compound	Gene	
CTD::decreases^expression::Compound:Gene	Compound decreases gene expression	BioMedGPS::E-::Compound:Gene	A compound that reduces the expression of a specific gene.	Does the #Compound# reduce the expression of #Gene#?	CTD	decreases^expression	Compound	Gene	
CTD::decreases^methylation::Compound:Gene	Compound decreases gene methylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^methylation	Compound	Gene	
CTD::decreases^phosphorylation::Compound:Gene	Compound decreases gene phosphorylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^phosphorylation	Compound	Gene	
CTD::decreases^reaction::Compound:Gene	Compound decreases gene reaction	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^reaction	Compound	Gene	
CTD::decreases^response to substance::Compound:Gene	Compound decreases gene response to substance	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^response to substance	Compound	Gene	
CTD::decreases^secretion::Compound:Gene	Compound decreases gene secretion	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^secretion	Compound	Gene	
CTD::decreases^transport::Compound:Gene	Compound decreases gene transport	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^transport	Compound	Gene	
CTD::increases^abundance::Compound:Gene	Compound increases gene abundance	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^abundance	Compound	Gene	
CTD::increases^acetylation::Compound:Gene	Compound increases gene acetylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^acetylation	Compound	Gene	
CTD::increases^activity::Compound:Gene	Compound increases gene activity	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^activity	Compound	Gene	
CTD::increases^carboxylation::Compound:Gene	Compound increases gene carboxylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^carboxylation	Compound	Gene	
CTD::increases^chemical synthesis::Compound:Gene	Compound increases gene chemical synthesis	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	CTD	increases^chemical synthesis	Compound	Gene	
CTD::increases^cleavage::Compound:Gene	Compound increases gene cleavage	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	CTD	increases^cleavage	Compound	Gene	
CTD::increases^degradation::Compound:Gene	Compound increases gene degradation	BioMedGPS::E-::Compound:Gene	A compound that reduces the expression of a specific gene.	Does the #Compound# reduce the expression of #Gene#?	CTD	increases^degradation	Compound	Gene	
CTD::increases^expression::Compound:Gene	Compound increases gene expression	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	CTD	increases^expression	Compound	Gene	
CTD::increases^lipidation::Compound:Gene	Compound increases gene lipidation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^lipidation	Compound	Gene	
CTD::increases^localization::Compound:Gene	Compound increases gene localization	BioMedGPS::Binder::Compound:Gene	"A compound binds to a specific gene or its protein product, potentially affecting its function or regulation."	"Does the #Compound# bind to #Gene# or its protein product, potentially affecting its function or regulation?"	CTD	increases^localization	Compound	Gene	
CTD::increases^metabolic processing::Compound:Gene	Compound increases gene metabolic processing	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	CTD	increases^metabolic processing	Compound	Gene	
CTD::increases^methylation::Compound:Gene	Compound increases gene methylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^methylation	Compound	Gene	
CTD::increases^mutagenesis::Compound:Gene	Compound increases gene mutagenesis	BioMedGPS::Target::Gene:Compound	"A gene that is a target for a specific compound, often in the context of drug development or treatment."	"Is the #Gene# a target for #Compound#, often in the context of drug development or treatment?"	CTD	increases^mutagenesis	Compound	Gene	
CTD::increases^oxidation::Compound:Gene	Compound increases gene oxidation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^oxidation	Compound	Gene	
CTD::increases^phosphorylation::Compound:Gene	Compound increases gene phosphorylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^phosphorylation	Compound	Gene	
CTD::increases^reaction::Compound:Gene	Compound increases gene reaction	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^reaction	Compound	Gene	
CTD::increases^reduction::Compound:Gene	Compound increases gene reduction	BioMedGPS::E-::Compound:Gene	A compound that reduces the expression of a specific gene.	Does the #Compound# reduce the expression of #Gene#?	CTD	increases^reduction	Compound	Gene	
CTD::increases^response to substance::Compound:Gene	Compound increases gene response to substance	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^response to substance	Compound	Gene	
CTD::increases^secretion::Compound:Gene	Compound increases gene secretion	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	CTD	increases^secretion	Compound	Gene	
CTD::increases^splicing::Compound:Gene	Compound increases gene splicing	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^splicing	Compound	Gene	
CTD::increases^stability::Compound:Gene	Compound increases gene stability	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^stability	Compound	Gene	
